"Zip/Postal Code","Postnummer"
"State/Province","Provins"
"Billing address","Fakturaadresse"
"Already registered? Click here to login.","Allerede registreret? Klik her for at logge ind."
"Create an account for later use","Opret en konto til senere brug."
"Ship to the same address","Levering til samme adresse"
"Shipping method","Leveringsmåde"
"Payment method","Betalingsmåde"
"Review your order","Ordreoversigt"
"Product","Produkt"
"Qty","Antal"
"Subtotal","Subtotal"
"Subscribe to our newsletter","Tilmeld mig nyhedsbrevet"
"Tax","Moms"
"Grand total","Total"
"Please choose a shipping method.","Vælg venligst en leveringsmåde."
"Please choose a payment method.","Vælg venligst en betalingsmåde."
"Please enter valid details below.","Udfyld venligst med gyldig information herunder."
"Please check red fields below and try again.","Tjek venligst de røde felter og prøv igen."
"Login","Log ind"
"Please login with your email address and password.","Log venligst ind med din emailadresse og adgangskode."
"Email address","Email adresse"
"Password","Adgangskode"
"Confirm password","Bekræft adgangskode"
"Forgotten your password?","Glemt din adgangskode?"
"Close","Luk"
"Login","Log ind"
"Please enter a username and password.","Skriv venligst et brugernavn og adgangskode."
"Invalid login or password.","Ugyldig brugernavn og/eller adgangskode."
"Enter your email below and we'll send you a new password by email.","Tast din emailadresse herunder, så sender vi dig en ny adgangskode til din email."
"Send password","Send adgangskode"
"Return to login","Tilbage til login"
"Please enter a valid email address","Angiv venligst en gyldig email adresse."
"Please enter a registered email address.","Angiv venligst en registreret email adresse."
"Invalid email address.","Ugyldig email adresse."
"Email address already registered. Please <a href=""#"" onclick=""login_popup.show(); return false;"">login now</a> or use a different email address.","Email adressen er allerede registreret. Venligst <a href=""#"" onclick=""login_popup.show(); return false;"">log ind</a> eller brug en anden email adresse."
"I accept the <a id=""onestepcheckout-toc-link"" target=""_blank"" href=""javascript:void(0);"">Terms and Conditions</a>","Jeg accepterer <a id=""onestepcheckout-toc-link"" target=""_blank"" href=""#"">salgs- og leveringsbetingelserne</a>"
"Comments","Kommentar til ordren"
"You need to have products in your cart to checkout, and your cart is empty.","Du skal have varer i indkøbskurven for at gå til betaling."
"Back to homepage","Tilbage til forsiden"
"Shipping address","Leveringsadresse"
"Apply Coupon","Benyt rabatkupon"
"Please enter a valid coupon code.","Angiv venligst en gyldig rabatkupon."
"Cancel Coupon","Annuller rabatkupon"
"Coupon code:","Rabatkupon:"
"Where did you heard about us?","Hvor har du hørt om os?"
"Please choose the answer","Vælg venligst en mulighed"
"Other source, please specify ...","Andre kilder, uddyb venligst ..."
"So where did you heard about us?","Hvor har du hørt om os?"
"Place order now","Til betaling"
"Please wait, processing your order...","Behandler ordren, vent venligst..."
"How did you hear about us?","Hvor har du hørt om os?"
"Please choose","Vælg venligst"
"Please specify:","Uddyb venligst:"
