"Extensions Store","Extensions Store"
"Amasty Extensions Store","Amasty Extensions Store"
"Extensions &amp; Notifications","Extensions &amp; Notifications"
"Installed Extensions","Installed Extensions"
"Notifications","Notifications"
"I`d like to be informed by Amasty Updates about","I`d like to be informed by Amasty Updates about"
"I`d like to be informed by Amasty Promos about","I`d like to be informed by Amasty Promos about"
"Amasty - Extensions Information","Amasty - Extensions Information"
"Amasty - Extensions Store","Amasty - Extensions Store"
"Show","Show"
"Installed","Installed"
"Update available","Update available"
"Output disabled","Output disabled"
"Fix","Fix"
"Rollback","Rollback"
"Show instructions","Show instructions"
"Open file","Open file"
"Replace","Replace"
"to","to"
"Clear magento cache and all external caches like APC (if any).","Clear magento cache and all external caches like APC (if any)."
"No actions required","No actions required"
"General","General"
"Compilation","Compilation"
"On","On"
"Off","Off"
"Disabled output","Disabled output"
"No","No"
"Cron","Cron"
"No cron jobs found","No cron jobs found"
"Learn more","Learn more"
"Rewrites","Rewrites"
"Latest Message:","Latest Message:"
"Read details","Read details"
"Close","Close"
"Unsubscribe","Unsubscribe"
"New version %s is available for the %s by Amasty","New version %s is available for the %s by Amasty"
"See","See"
"change-log","change-log"
"Events","Events"
"method","method"
