"Are you sure?","Are you sure?"
"Billing Agreement Id","Billing Agreement Id"
"Billing agreement not found. Order could not be loaded.","Billing agreement not found. Order could not be loaded."
"Billing Agreement Used on Previous Order","Billing Agreement Used on Previous Order"
"Create Guest Order","Create Guest Order"
"Credit Card","Credit Card"
"Credit Card Used on Previous Order","Credit Card Used on Previous Order"
"Credit Cards","Credit Cards"
"Delete","Delete"
"if paid by credit card","if paid by credit card"
"Internal error: cannot initialize Payflow payment method.","Internal error: cannot initialize Payflow payment method."
"Internal error: cannot initialize the payment method.","Internal error: cannot initialize the payment method."
"Last Used","Last Used"
"Manage saved cards","Manage saved cards"
"My Credit Cards","My Credit Cards"
"New Order from this Payment","New Order from this Payment"
"No saved cards","No saved cards"
"Payflow PPREF: #%s.","Payflow PPREF: #%s."
"PayPal Previous Order Billing Agreement Settings","PayPal Previous Order Billing Agreement Settings"
"PayPal Previous Order Credit Card Settings","PayPal Previous Order Credit Card Settings"
"PayPal Saved Credit Card Settings","PayPal Saved Credit Card Settings"
"Please select valid saved card","Please select valid saved card"
"Save this card for future use","Save this card for future use"
"Saved Credit Card","Saved Credit Card"
"The card had been deleted.","The card had been deleted."
"Unable to get the stored card data","Unable to get the stored card data"
"Unable to get the transaction data","Unable to get the transaction data"
"",""
