"Register new account - Enter your password:","Register new account - Enter your password:"
"Please accept terms and conditions","Please accept terms and conditions"
"Comment","Your Commment"
"Already registered? Please" , "Already registered? Please"
"log in","log in"
"Discount Codes","Discount Codes"
"Sign up for our newsletter","Sign up for our newsletter"
"Place Order","Place Order"
"Edit your card","Edit your card"
"Email","Email"
"Password","Password"
"Login","Login"
"Forgot your password?","Forgot your password?"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account."
"Additional Information","Additional Information"
"Forgot an Item?","Forgot an Item?"
"Edit Your Cart","Edit Your Cart"
"Already registered? Please","Already registered? Please"
"log in","log in"
"VAT Number","VAT Number"
"Tax/VAT number","Tax/VAT number"
"Sorry, no quotes are available for this order at this time. Please update your address first.","Sorry, no quotes are available for this order at this time. Please update your address first."
