"%s (Default Template from Locale)","%s (Default Template from Locale)"
"%s of all customers","%s of all customers"
"&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;Template for Customer
                                &amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;Birthday
                            ","&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;Template for Customer
                                &amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;Birthday
                            "
"&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;Template for Newsletter
                                &amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;Subscription
                            ","&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;Template for Newsletter
                                &amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;Subscription
                            "
"&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;Template for Product
                                Review
                            ","&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;Template for Product
                                Review
                            "
"&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;Template for Product
                                Tag
                            ","&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;Template for Product
                                Tag
                            "
"&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;For Balance Changed","&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;For Balance Changed"
"&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;For Credit Rules","&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;For Credit Rules"
"&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;For Customer Birthday","&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;For Customer Birthday"
"&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;For Expiration Notice","&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;For Expiration Notice"
"&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;For Newsletter Subscription","&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;For Newsletter Subscription"
"&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;For Product Review","&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;For Product Review"
"&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;For Product Tag","&amp;nbsp;&amp;nbsp;&amp;nbsp;&amp;nbsp;For Product Tag"
"--Please Select--","--Please Select--"
API,API
"Action Log","Action Log"
"Action Type","Action Type"
Actions,Actions
Active,Active
"Activity Log","Activity Log"
"Add New Credit Rule","Add New Credit Rule"
Added,Added
Added/Deducted,Added/Deducted
"Adjust Credit","Adjust Credit"
"Adjustment Fee","Adjustment Fee"
