"Enable Debug Mode","Activer le mode debug"
"If set yo yes, will display potential error messages in frontend.","Si activé, les potentiels messages d'erreur seront affichés."
"Enable Suggestion","Activer les suggestions"
"Also known as ""Did you mean?"" feature. If set to yes, will display a suggestion if search engine detects a better text query.","Aussi connu sous le nom ""Voulez-vous dire ?"". Si activé, une suggestion de correction sera affichée si le moteur de recherche trouve un meilleur mot à rechercher."
"Servers","Serveurs"
"host:port separated by comma. Follow this pattern for full available parameters: <a href=""http://php.net/manual/en/function.parse-url.php"" target=""_blank"">http://php.net/manual/en/function.parse-url.php</a>","host:port séparés par des virgules. Suivre ce modèle pour l'ensemble des paramètres disponibles : <a href=""http://php.net/manual/en/function.parse-url.php"" target=""_blank"">http://php.net/manual/en/function.parse-url.php</a>"
"Verify Host","Vérifier l'hôte"
"Only used for https connection. Useful to set No here if you don't have a valid SSL certificate.","Seulement utilisé pour les connexions sécurisées (https). Cela peut être utile de définir ce paramètre à Non si vous n'avez pas un certificat SSL valide (auto-signé par exemple)."
"Server Timeout","Durée maximale d'une requête vers le serveur"
"Number of seconds after a timeout occurs for every request. If using indexing of file, large value necessary.","Nombre de seconde maximum pour chaque requête vers le serveur. Si vous indexez des fichiers, il vaut mieux prévoir une durée assez élevée."
"Index Prefix","Préfixe d'index"
"Used to prefix index names to avoid potential collisions.","Utilisé pour éviter les potentielles collisions de noms d'index entre plusieurs installations Magento."
"Number of Shards","Nombre de shards"
"Having more shards enhances the indexing performance and allows to distribute a big index across machines.","Avoir beaucoup de shards améliore les performances d'indexation et permet la distribution des indexes volumineux sur plusieurs machines."
"Number of Replicas","Nombre de replicas"
"The number of replicas each shard has. Having more replicas enhances the search performance and improves the cluster availability.<br /><strong><span style=""color: red;"">Be careful</span></strong> when modifying this parameter. Write consistency (one, quorum or all) must be considered in order to avoid timeout write action. More info here: <a href=""https://www.elastic.co/guide/en/elasticsearch/reference/current/docs-bulk.html#bulk-consistency"" target=""_blank"">https://www.elastic.co/guide/en/elasticsearch/reference/current/docs-bulk.html#bulk-consistency</a> and here <a href=""https://github.com/elasticsearch/elasticsearch/issues/444"" target=""_blank"">https://github.com/elasticsearch/elasticsearch/issues/444</a>","Le nombre de replicas que chaque shard possède. Avoir beaucoup de replicas améliore les performances de recherche et la disponibilité du cluster.<br /><strong><span style=""color: red;"">Attention</span></strong> quand vous modifiez ce paramètre. La cohérence des écritures ('one', 'quorum' ou 'all') doit être prise en compte pour éviter des timeouts lors des écritures. Plus d'informations ici : <a href=""https://www.elastic.co/guide/en/elasticsearch/reference/current/docs-bulk.html#bulk-consistency"" target=""_blank"">https://www.elastic.co/guide/en/elasticsearch/reference/current/docs-bulk.html#bulk-consistency</a> et ici <a href=""https://github.com/elasticsearch/elasticsearch/issues/444"" target=""_blank"">https://github.com/elasticsearch/elasticsearch/issues/444</a>"
"<strong>Default write consistency is quorum</strong> (active shards > replicas / 2 + 1).<br />For example, in a N shards with 2 replicas index, there will have to be at least 2 active shards within the relevant partition (quorum) for the operation to succeed. In a N shards with 1 replica scenario, there will need to be a single shard active (in this case, one and quorum is the same).","<strong>La valeur par défaut est quorum</strong> (nb shards actifs > nb replicas / 2 + 1).<br />Par exemple, pour N shards avec 2 replicas index, il devra y avoir au moins 2 shards actifs dans la partition (quorum) pour que l'opération réussisse. Pour N shards avec 1 replica, il faudra 1 seul shard actif (dans ce cas, 'one' et 'quorum' sont identiques)."
"Safe Reindex","Réindexation transparente"
