"Zip/Postal Code","Codice Postale"
"State/Province","Provincia"
"Billing address","Indirizzo di Fatturazione"
"Already registered? Click here to login.","Sei gi� iscritto? Clicca qui per effettuare il login."
"Create an account for later use","Creare un account per un uso successivo"
"Ship to the same address","Spedire allo stesso indirizzo"
"Shipping method","Metodo di Spedizione"
"Payment method","Metodo di Pagamento"
"Review your order","Rivedi il tuo Ordine"
"Product","Prodotto"
"Qty","Qt."
"Subtotal","Subtotale"
"Subscribe to our newsletter","Iscriviti alla nostra newsletter"
"Tax","Tasse"
"Grand total","Totale"
"Please choose a shipping method.","Scegli un metodo di spedizione."
"Please choose a payment method.","Scegli un metodo di pagamento."
"Please enter valid details below.","Inserisci dettagli validi."
"Please check red fields below and try again.","Si prega di controllare i campi in rosso qui sotto e riprova."
"Login","Login"
"Please login with your email address and password.","Effettua il login con il tuo indirizzo e-mail e la password."
"Email address","Indirizzo Email"
"Password","Password"
"Confirm password","Conferma password"
"Forgotten your password?","Dimenticata la password?"
"Close","Chiudi"
"Login","Login"
"Please enter a username and password.","Inserisci username e password."
"Invalid login or password.","Login non valido o password."
"Enter your email below and we'll send you a new password by email.","Inserisci la tua email qui sotto e ti invieremo una nuova password via e-mail."
"Send password","Invia password"
"Return to login","Torna al login"
"Please enter a valid email address","Si prega di inserire un indirizzo email valido"
"Please enter a registered email address.","Si prega di inserire un indirizzo email registrato."
"Invalid email address.","Indirizzo email non valido."
"Email address already registered. Please <a href=""#"" onclick=""login_popup.show(); return false;"">login now</a> or use a different email address.","Email address already registered. Please <a href=""#"" onclick=""login_popup.show()"; return false;">login now</a> or use a different email address."
"I accept the <a id=""onestepcheckout-toc-link"" target=""_blank"" href=""#"">Terms and Conditions</a>","I accept the <a id=""onestepcheckout-toc-link"" target=""_blank"" href=""#"">Terms and Conditions</a>"
"Comments","Commenti"
"You need to have products in your cart to checkout, and your cart is empty.","� necessario disporre di prodotti nel tuo carrello alla cassa, e il tuo carrello � vuoto."
"Back to homepage","Torna alla homepage"
"Where did you heard about us?","Where did you heard about us?"
"Please choose the answer","Please choose the answer"
"Other source, please specify ...","Other source, please specify ..."
"So where did you heard about us?","So where did you heard about us?"
