"Zip/Postal Code","Postnummer"
"State/Province","Län"
"Billing address","Fakturaadress"
"Already registered? Click here to login.","Redan registrerad? Klicka här för att logga in."
"Create an account for later use","Skapa ett konto för senare användning"
"Ship to the same address","Skicka till samma adress"
"Shipping method","Fraktmetod"
"Payment method","Betalmetod"
"Review your order","Granska din order"
"Product","Produkt"
"Qty","Antal"
"Subtotal","Summa"
"Subscribe to our newsletter","Prenumerera på vårat nyhetsbrev"
"Tax","Varav moms"
"Grand total","Totalt"
"Please choose a shipping method.","Välj fraktmetod."
"Please choose a payment method.","Välj betalmetod."
"Please enter valid details below.","Vänligen fyll i korrekt."
"Please check red fields below and try again.","Granska de röda fälten nedan och försök igen."
"Login","Logga in"
"Please login with your email address and password.","Logga in med din emailadress och lösenord."
"Email address","Emailadress"
"Password","Lösenord"
"Confirm password","Bekräfta lösenord"
"Forgotten your password?","Glömt lösenordet?"
"Close","Stäng"
"Login","Logga in"
"Please enter a username and password.","Skriv in ett användarnamn och lösenord"
"Invalid login or password.","Inkorrekt användare eller lösenord."
"Enter your email below and we'll send you a new password by email.","Skriv in din email nedan och vi skickar ut ett nytt lösenord via email"
"Send password","Skicka lösenord"
"Return to login","Tillbaka till inloggning"
"Please enter a valid email address","Vänligen skriv in en korrekt emailadress"
"Please enter a registered email address.","Vänligen skriv in en registerad emailadress."
"Invalid email address.","Inkorrekt emailadress."
"Email address already registered. Please <a href=""#"" onclick=""login_popup.show(); return false;"">login now</a> or use a different email address.","Emailadress är redan registerad . Vänligen <a href=""#"" onclick=""login_popup.show(); return false;"">logga in</a> eller använd en annan emailadress."
"I accept the <a id=""onestepcheckout-toc-link"" target=""_blank"" href=""#"">Terms and Conditions</a>","I accept the <a id=""onestepcheckout-toc-link"" target=""_blank"" href=""#"">Försäljningsvillkor</a>"
"Comments","Kommentarer"
"You need to have products in your cart to checkout, and your cart is empty.","Du behöver ha produkter i din kundvagn för att gå till kassan och din kundvagn är tom."
"Back to homepage","Tillbaka"
"Coupon code:","Rabattkod:"
"Apply Coupon","Applicera kod"
"Please enter a valid coupon code.","Vänligen skriv in en korrekt kod."
"Cancel Coupon","Ta bort rabattkod"
"Shipping address","Leveransadress"
"How did you hear about us?","Hur fick höra du om oss?"
"Please choose","Vänligen välj"
"Other","Annat"
"Please specify:","Vänligen ange:"
